,M,b,LD,CW,CT4,CT12
0,0,0,1.0588235294117647,True,True,False
0,0,0,2.1176470588235294,True,False,False
0,0,0,6.235294117647059,True,False,False
0,0,0,1.588235294117647,True,False,False
0,0,0,1.0,True,False,False
0,0,0,2.176470588235294,True,False,False
0,0,0,4.705882352941177,False,False,False
0,0,0,1.0588235294117647,False,False,False
0,0,0,4.529411764705882,True,False,False
0,0,0,2.2941176470588234,True,False,False
0,0,0,0.8235294117647058,False,False,False
0,0,0,2.764705882352941,True,True,False
0,0,0,5.0588235294117645,True,False,False
0,0,0,1.411764705882353,True,False,False
0,0,0,1.7647058823529411,True,False,False
0,0,0,11.176470588235293,False,False,False
0,0,0,1.5294117647058822,True,True,False
0,0,0,0.8235294117647058,True,True,False
0,0,0,3.235294117647059,False,False,False
0,0,0,2.3529411764705883,True,False,False
0,0,0,1.1764705882352942,True,False,False
0,0,0,1.6470588235294117,True,False,False
0,0,0,3.8823529411764706,False,False,False
0,0,0,0.5882352941176471,True,True,False
0,0,0,1.8235294117647058,True,False,False
0,0,0,1.6470588235294117,True,True,False
0,0,0,1.6470588235294117,True,False,False
0,0,0,1.0,True,True,False
0,0,0,3.176470588235294,True,False,False
0,0,0,1.7647058823529411,True,False,False
0,0,0,5.117647058823529,True,False,False
0,0,0,2.5294117647058822,True,False,False
0,0,0,1.6470588235294117,True,False,False
0,0,0,2.1176470588235294,True,True,False
0,0,0,0.7647058823529411,True,False,False
0,0,0,0.6470588235294118,True,False,False
0,0,0,0.47058823529411764,True,False,False
0,0,0,2.764705882352941,True,False,False
0,0,0,2.9411764705882355,True,True,False
0,0,0,0.7058823529411765,True,False,False
0,0,0,3.764705882352941,True,False,False
0,0,0,1.2941176470588236,False,False,False
0,0,0,2.588235294117647,False,False,False
0,0,0,2.2941176470588234,True,True,False
0,0,0,2.6470588235294117,True,False,False
0,0,0,1.9411764705882353,True,False,False
0,0,0,3.9411764705882355,False,False,False
0,0,0,1.2352941176470589,True,False,False
0,0,0,1.1176470588235294,True,True,False
0,0,0,1.6470588235294117,True,False,False
0,0,0,1.1764705882352942,True,True,False
0,0,0,2.6470588235294117,False,False,False
0,0,0,0.6470588235294118,True,True,False
0,0,0,1.0,True,True,False
0,0,0,3.4705882352941178,True,False,False
0,0,0,1.8823529411764706,True,False,False
0,0,0,1.7058823529411764,True,False,False
0,0,0,1.588235294117647,True,False,False
0,0,0,5.176470588235294,True,False,False
0,0,0,4.9411764705882355,True,False,False
0,0,0,2.4705882352941178,True,False,False
0,0,0,2.3529411764705883,True,True,False
0,0,0,1.2352941176470589,True,True,True
0,0,0,12.352941176470589,False,False,False
0,0,0,0.7058823529411765,True,False,False
0,0,0,1.2941176470588236,True,False,False
0,0,0,1.8235294117647058,True,False,False
0,0,0,2.0588235294117645,True,False,False
0,0,0,2.7058823529411766,True,False,False
0,0,0,1.9411764705882353,True,True,False
0,0,0,3.7058823529411766,True,False,False
